metascore,name,console,userscore,date
97,Grand Theft Auto V,PS3,8.3,"Sep 17, 2013"
97,Grand Theft Auto V,X360,8.3,"Sep 17, 2013"
95,The Last of Us,PS3,9.2,"Jun 14, 2013"
94,BioShock Infinite,PS3,8.5,"Mar 26, 2013"
94,BioShock Infinite,PC,8.6,"Mar 25, 2013"
93,BioShock Infinite,X360,8.5,"Mar 26, 2013"
93,Super Mario 3D World,WIIU,8.9,"Nov 22, 2013"
92,Fire Emblem: Awakening,3DS,9.1,"Feb 4, 2013"
92,Rayman Legends,WIIU,8.7,"Sep 3, 2013"
91,Fez,PC,6.7,"May 1, 2013"
91,Rayman Legends,PS3,8.7,"Sep 3, 2013"
91,The Legend of Zelda: A Link Between Worlds,3DS,9,"Nov 22, 2013"
91,flower,PS4,7.2,"Nov 15, 2013"
90,Spelunky,PC,7.3,"Aug 8, 2013"
90,The Legend of Zelda: The Wind Waker HD,WIIU,8.9,"Sep 20, 2013"
90,Brothers: A Tale of Two Sons,PC,8.6,"Sep 3, 2013"
90,Dota 2,PC,6.5,"Jul 9, 2013"
90,Rayman Legends,X360,8.2,"Sep 3, 2013"
89,Skylanders Swap Force,WIIU,6.1,"Oct 13, 2013"
89,Rocksmith 2014 Edition,PC,7.9,"Oct 22, 2013"
88,Spelunky,VITA,7.9,"Aug 27, 2013"
88,Deus Ex: Human Revolution - Director's Cut,WIIU,8.5,"Oct 22, 2013"
88,Crusader Kings II: The Old Gods,PC,8.7,"May 28, 2013"
88,FIFA 14,XONE,5.8,"Nov 19, 2013"
88,Assassin's Creed IV: Black Flag,PS3,8.2,"Oct 29, 2013"
88,Star Wars Pinball: Balance of the Force,X360,6.1,"Oct 16, 2013"
88,XCOM: Enemy Within,X360,7.6,"Nov 12, 2013"
88,Pokemon Y,3DS,8.6,"Oct 12, 2013"
88,The Stanley Parable,PC,8,"Oct 17, 2013"
88,Guacamelee! Gold Edition,PC,7.3,"Aug 8, 2013"
88,Animal Crossing: New Leaf,3DS,8.7,"Jun 9, 2013"
87,Rocksmith 2014 Edition,X360,7.5,"Oct 22, 2013"
87,Pokemon X,3DS,8.6,"Oct 12, 2013"
87,Guacamelee!,VITA,8.3,"Apr 9, 2013"
87,The Swapper,PC,8.7,"May 30, 2013"
87,Tomb Raider,PS3,8.4,"Mar 5, 2013"
87,Rayman Legends,VITA,8.4,"Sep 3, 2013"
87,Tearaway,VITA,8.9,"Nov 22, 2013"
87,MLB 13: The Show,PS3,7.9,"Mar 5, 2013"
87,FIFA 14,PS4,6.3,"Nov 12, 2013"
87,Hotline Miami,PS3,8.3,"Jun 25, 2013"
87,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,X360,7.4,"Feb 27, 2013"
87,Pinball FX 2: Star Wars Pinball,X360,6.4,"Feb 27, 2013"
87,Europa Universalis IV,PC,8.8,"Aug 13, 2013"
87,Diablo III,X360,6.7,"Sep 3, 2013"
87,Pikmin 3,WIIU,8.7,"Aug 4, 2013"
87,Velocity Ultra,VITA,7.9,"Jul 2, 2013"
87,NBA 2K14,X360,4.9,"Oct 1, 2013"
86,Gone Home,PC,5.4,"Aug 15, 2013"
86,Pac-Man Championship Edition DX +,PC,7.5,"Sep 24, 2013"
86,Out of the Park Baseball 14,PC,8.2,"Apr 15, 2013"
86,NBA 2K14,XONE,5.7,"Nov 12, 2013"
86,Saints Row IV,PC,7.4,"Aug 19, 2013"
86,Need for Speed: Most Wanted U,WIIU,7.7,"Mar 19, 2013"
